slug,name,displayed_year,company_data_year,wikipedia_year,suggested_year,confidence,notes
entrust-idv-formerly-onfido,"Entrust IDV, formerly Onfido",1969,2012,,,none,"No Wikipedia data found for 'Onfido'. Manual verification required for conflict: 1969 vs 2012."
entrust-identity-verification,"Entrust Identity Verification",1969,2012,,,none,"No Wikipedia data found for 'Entrust (company)'. Manual verification required for conflict: 1969 vs 2012."
imageware-authenticate,"Imageware Authenticate",2015,1987,,,none,"No Wikipedia data found for 'ImageWare Systems'. Manual verification required for conflict: 2015 vs 1987."
mitek-systems,"Mitek Systems",2008,1985,,,none,"No Wikipedia data found for 'Mitek Systems'. Manual verification required for conflict: 2008 vs 1985."
core-identity-verification-solutions,"CORE Identity Verification Solutions",2019,2001,,,none,"No Wikipedia data found for 'CORE Identity'. Manual verification required for conflict: 2019 vs 2001."
talnflo,"TalnFlo",2023,2007,,,none,"No Wikipedia data found for 'TalnFlo'. Manual verification required for conflict: 2023 vs 2007."
identomat,"Identomat",2020,2007,,,none,"No Wikipedia data found for 'Identomat'. Manual verification required for conflict: 2020 vs 2007."
complycube,"ComplyCube",2017,2007,,,none,"No Wikipedia data found for 'ComplyCube'. Manual verification required for conflict: 2017 vs 2007."
luxand-facesdk,"Luxand FaceSDK",2015,2005,,,none,"No Wikipedia data found for 'Luxand'. Manual verification required for conflict: 2015 vs 2005."
deepidv,"deepidv",2015,2024,,,none,"No Wikipedia data found for 'DeepID'. Manual verification required for conflict: 2015 vs 2024."
amiqus,"Amiqus",2022,2015,,,none,"No Wikipedia data found for 'Amiqus'. Manual verification required for conflict: 2022 vs 2015."
persona,"Persona",2018,2024,,,none,"No Wikipedia data found for 'Persona'. Manual verification required for conflict: 2018 vs 2024."
xproof,"xProof",2000,2006,,,none,"No Wikipedia data found for 'xProof'. Manual verification required for conflict: 2000 vs 2006."
sumsub,"Sumsub",2020,2015,,,none,"No Wikipedia data found for 'Sumsub'. Manual verification required for conflict: 2020 vs 2015."
veridium,"Veridium",2015,2012,,,none,"No Wikipedia data found for 'Veridium'. Manual verification required for conflict: 2015 vs 2012."
regula,"Regula",1989,1992,,,none,"No Wikipedia data found for 'Regula'. Manual verification required for conflict: 1989 vs 1992."
ondato,"Ondato",2017,2018,,,none,"No Wikipedia data found for 'Ondato'. Manual verification required for conflict: 2017 vs 2018."
shufti,"Shufti",2017,2016,,,none,"No Wikipedia data found for 'Shufti'. Manual verification required for conflict: 2017 vs 2016."
